,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
277,277,277,277,277,SINDH,Sukkur Division,SUKKUR DISTRICT,ROHRI TALUKA,807.0,284840,148419,136392,29,108.82,5.67,166453,2.86,85742,44179,41558,5,106.31,5.41,57537,2.12
278,278,278,278,278,SINDH,Sukkur Division,SUKKUR DISTRICT,SALEHPAT TALUKA,2957.0,102811,53904,48900,7,110.23,5.28,64646,2.47,26925,14048,12875,2,109.11,5.5,0,0.0
279,279,279,279,279,SINDH,Sukkur Division,SUKKUR DISTRICT,SUKKUR CITY TALUKA,250.0,0,0,0,0,0.0,0.0,2833,0.0,231459,118916,112511,32,105.69,5.46,212242,0.46
280,280,280,280,280,BALOCHISTAN,Makran Division,AWARAN DISTRICT,AWARAN TEHSIL,13075.0,8584,4334,4250,0,101.98,5.72,27156,5.87,21761,10986,10774,1,101.97,7.81,0,0.0
281,281,281,281,281,BALOCHISTAN,Makran Division,AWARAN DISTRICT,GISHKORE SUB-TEHSIL,4578.0,18390,9683,8704,3,111.25,5.07,22430,1.04,0,0,0,0,0.0,0.0,0,0.0
282,282,282,282,282,BALOCHISTAN,Makran Division,AWARAN DISTRICT,JHAL JAO SUB-TEHSIL,9439.0,40010,20949,19056,5,109.93,6.81,34214,0.83,0,0,0,0,0.0,0.0,0,0.0
283,283,283,283,283,BALOCHISTAN,Makran Division,AWARAN DISTRICT,MASHKAI TEHSIL,2418.0,20600,10472,10128,0,103.4,6.84,34373,2.65,12476,6639,5837,0,113.74,7.82,0,0.0
284,284,284,284,284,BALOCHISTAN,Kalat Division,KALAT DISTRICT,GAZG SUB-TEHSIL,1390.0,5721,3112,2609,0,119.28,6.02,3979,1.93,0,0,0,0,0.0,0.0,0,0.0
285,285,285,285,285,BALOCHISTAN,Kalat Division,KALAT DISTRICT,JOHAN SUB-TEHSIL,1328.0,10708,5625,5083,0,110.66,6.8,12299,0.73,0,0,0,0,0.0,0.0,0,0.0
286,286,286,286,286,BALOCHISTAN,Kalat Division,KALAT DISTRICT,KALAT TEHSIL,3788.0,92298,47816,44482,0,107.5,6.85,63919,1.95,36796,18649,18147,0,102.77,6.4,22646,2.58
287,287,287,287,287,BALOCHISTAN,Kalat Division,KALAT DISTRICT,MANGOCHAR TEHSIL,1148.0,65678,34177,31500,1,108.5,7.7,41590,2.43,0,0,0,0,0.0,0.0,0,0.0
288,288,288,288,288,BALOCHISTAN,Kalat Division,KALAT DISTRICT,SURAB TEHSIL,762.0,165260,84792,80468,0,105.37,7.71,82253,3.73,35597,17635,17962,0,98.18,8.53,11148,6.29
289,289,289,289,289,BALOCHISTAN,Makran Division,KHARAN DISTRICT,KHARAN TEHSIL,5072.0,29315,15119,14196,0,106.5,6.17,15966,3.24,51388,27073,24315,0,111.34,8.05,27806,3.28
290,290,290,290,290,BALOCHISTAN,Makran Division,KHARAN DISTRICT,SAR KHARAN TEHSIL,3539.0,49393,25438,23955,0,106.19,5.86,29768,2.7,0,0,0,0,0.0,0.0,0,0.0
291,291,291,291,291,BALOCHISTAN,Makran Division,KHARAN DISTRICT,SUB TEHSIL TOHMULK,6347.0,32670,17001,15669,0,108.5,6.22,23360,1.78,0,0,0,0,0.0,0.0,0,0.0
292,292,292,292,292,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,7456.0,42318,22656,19658,4,115.25,6.0,28561,2.09,0,0,0,0,0.0,0.0,0,0.0
293,293,293,293,293,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,1352.0,31016,16082,14933,1,107.69,5.78,21984,1.82,0,0,0,0,0.0,0.0,0,0.0
294,294,294,294,294,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,KHUZDAR TEHSIL,6112.0,117020,60438,56569,13,106.84,6.4,70788,2.68,182444,95244,87193,7,109.23,6.88,91057,3.72
295,295,295,295,295,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,3283.0,23386,12027,11350,9,105.96,6.1,13143,3.07,0,0,0,0,0.0,0.0,0,0.0
296,296,296,296,296,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,NAL SUB-TEHSIL,4413.0,97576,51298,46267,11,110.87,6.57,59314,2.65,33321,17439,15881,1,109.81,6.95,0,0.0
297,297,297,297,297,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,ORNACH SUB-TEHSIl,3368.0,37588,20191,17395,2,116.07,5.7,20907,3.13,0,0,0,0,0.0,0.0,0,0.0
298,298,298,298,298,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,3257.0,32125,17427,14696,2,118.58,5.23,20580,2.37,0,0,0,0,0.0,0.0,0,0.0
299,299,299,299,299,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,WADH TEHSIL,2118.0,77906,40448,37443,15,108.03,6.07,38539,3.77,22209,11833,10374,2,114.06,6.27,13794,2.53
300,300,300,300,300,BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,ZEHRI TEHSIL,4021.0,64199,33871,30320,8,111.71,9.08,25402,4.99,37788,20397,17389,2,117.3,9.02,13397,5.6
301,301,301,301,301,BALOCHISTAN,Makran Division,LASBELA DISTRICT,BELA TEHSIL,1527.0,80124,41690,38433,1,108.47,5.45,51636,2.33,24603,13006,11594,3,112.18,6.01,16705,2.05
302,302,302,302,302,BALOCHISTAN,Makran Division,LASBELA DISTRICT,DUREJI TEHSIL,2813.0,32686,17112,15573,1,109.88,5.31,31504,0.19,12855,6739,6116,0,110.19,4.98,0,0.0
303,303,303,303,303,BALOCHISTAN,Makran Division,LASBELA DISTRICT,GADDANI TEHSIL,419.0,16914,8902,8012,0,111.11,5.69,7889,4.09,7679,3889,3790,0,102.61,6.05,11068,1.9
304,304,304,304,304,BALOCHISTAN,Makran Division,LASBELA DISTRICT,HUB TEHSIL,868.0,27664,14377,13287,0,108.2,5.77,18171,2.23,177823,93326,84495,2,110.45,8.08,62763,5.62
305,305,305,305,305,BALOCHISTAN,Makran Division,LASBELA DISTRICT,LAKHRA TEHSIL,1954.0,35495,18094,17400,1,103.99,6.06,25474,1.76,0,0,0,0,0.0,0.0,0,0.0
306,306,306,306,306,BALOCHISTAN,Makran Division,LASBELA DISTRICT,LIARI TEHSIL,2010.0,11730,5990,5740,0,104.36,4.74,7846,2.14,0,0,0,0,0.0,0.0,0,0.0
307,307,307,307,307,BALOCHISTAN,Makran Division,LASBELA DISTRICT,SONMIANI/WINDER TEHSIL,2616.0,34504,17867,16637,0,107.39,5.74,20230,2.84,29515,15353,14160,2,108.43,6.63,11569,5.04
308,308,308,308,308,BALOCHISTAN,Makran Division,LASBELA DISTRICT,UTHAL TEHSIL,1756.0,42867,22196,20671,0,107.38,5.35,26405,2.58,29423,15792,13630,1,115.86,6.92,13319,4.25
309,309,309,309,309,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,DASHT TEHSIL,1047.0,64765,34040,30722,3,110.8,6.34,24570,5.22,0,0,0,0,0.0,0.0,0,0.0
310,310,310,310,310,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,KHAD KOCHA SUB-TEHSIL,640.0,38860,20265,18595,0,108.98,6.54,19262,3.76,0,0,0,0,0.0,0.0,0,0.0
311,311,311,311,311,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,KIRDGAP SUB-TEHSIL,929.0,28624,14682,13942,0,105.31,6.4,24214,0.88,0,0,0,0,0.0,0.0,0,0.0
312,312,312,312,312,BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,MASTUNG TEHSIL,692.0,98430,50667,47763,0,106.08,7.44,57862,2.83,34997,17850,17147,0,104.1,7.0,24131,1.97
313,313,313,313,313,BALOCHISTAN,Makran Division,WASHUK DISTRICT,BESIMA SUB-TEHSIL,6014.0,40266,21513,18753,0,114.72,6.66,16740,4.72,0,0,0,0,0.0,0.0,0,0.0
314,314,314,314,314,BALOCHISTAN,Makran Division,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,11663.0,38634,20219,18414,1,109.8,4.97,29844,1.37,0,0,0,0,0.0,0.0,0,0.0
315,315,315,315,315,BALOCHISTAN,Makran Division,WASHUK DISTRICT,NAG SUB-TEHSIL,4338.0,34477,17743,16734,0,106.03,5.43,19956,2.91,0,0,0,0,0.0,0.0,0,0.0
316,316,316,316,316,BALOCHISTAN,Makran Division,WASHUK DISTRICT,SHAHGORI SUB-TEHSIL,3584.0,27548,14332,13216,0,108.44,5.19,19641,1.79,0,0,0,0,0.0,0.0,0,0.0
317,317,317,317,317,BALOCHISTAN,Makran Division,WASHUK DISTRICT,WASHUK SUB-TEHSIL,7494.0,12952,6627,6325,0,104.77,6.81,23828,3.15,21835,11407,10428,0,109.39,5.45,0,0.0
318,318,318,318,318,BALOCHISTAN,Makran Division,GWADAR DISTRICT,GWADAR TEHSIL,2590.0,47494,24823,22670,1,109.5,5.93,27593,2.89,90201,49901,40293,7,123.85,6.86,45021,3.72
319,319,319,319,319,BALOCHISTAN,Makran Division,GWADAR DISTRICT,JIWANI TEHSIL,454.0,8423,4340,4083,0,106.29,5.75,5716,2.06,18268,9511,8753,4,108.66,6.1,14072,1.38
320,320,320,320,320,BALOCHISTAN,Makran Division,GWADAR DISTRICT,ORMARA TEHSIL,2796.0,7881,4150,3731,0,111.23,5.24,7327,0.38,17753,10001,7752,0,129.01,5.4,11521,2.3
321,321,321,321,321,BALOCHISTAN,Makran Division,GWADAR DISTRICT,PASNI TEHSIL,4822.0,26790,14155,12634,1,112.04,6.02,27364,0.11,34557,18404,16149,4,113.96,8.15,29538,0.83
322,322,322,322,322,BALOCHISTAN,Makran Division,GWADAR DISTRICT,SUNTSER SUB-TEHSIL,1975.0,10886,5831,5055,0,115.35,5.31,17346,2.42,0,0,0,0,0.0,0.0,0,0.0
323,323,323,323,323,BALOCHISTAN,Makran Division,KECH DISTRICT,BALNIGORE SUB-TEHSIL,1238.0,44595,23222,21373,0,108.65,6.19,19560,4.42,0,0,0,0,0.0,0.0,0,0.0
